index,home_team,away_team,home_coeff,away_coeff,mean_coeff,tvalue_home,tvalue_away,home_team_score,away_team_score,importance,home_team_result
2539,Tunisia,Nigeria,0.85,0.85,0.85,172,142,2,0,1,Win
2540,Costa Rica,El Salvador,0.85,0.85,0.85,146,127,0,0,2.5,Draw
2541,Korea Republic,Brazil,0.85,1,0.925,166,200,1,2,1,Lose
2542,Japan,Brazil,0.85,1,0.925,183,200,0,3,1,Lose
2543,Burkina Faso,Kenya,0.85,0.85,0.85,96,98,2,4,2.5,Lose
2544,Morocco,Gabon,0.85,0.85,0.85,185,139,2,0,2.5,Win
2545,South Africa,Congo,0.85,0.85,0.85,178,103,1,0,2.5,Win
2546,Canada,IR Iran,0.85,0.85,0.85,153,143,0,1,1,Lose
2547,Egypt,Liberia,0.85,0.85,0.85,162,106,5,0,2.5,Win
2548,Ghana,Sierra Leone,0.85,0.85,0.85,158,114,0,2,2.5,Lose
2549,Guinea,Nigeria,0.85,0.85,0.85,136,142,1,0,2.5,Win
2550,Togo,Angola,0.85,0.85,0.85,123,141,1,1,2.5,Draw
2551,Tunisia,Namibia,0.85,0.85,0.85,172,120,4,0,2.5,Win
2552,Zimbabwe,Cameroon,0.85,0.85,0.85,138,154,1,2,2.5,Lose
2553,Greece,Cyprus,0.99,0.99,0.99,160,116,2,1,1,Win
2554,Latvia,Azerbaijan,0.99,0.99,0.99,125,75,0,0,1,Draw
2555,Belarus,Sweden,0.99,0.99,0.99,97,175,1,2,2.5,Lose
2556,Bosnia and Herzegovina,Denmark,0.99,0.99,0.99,83,197,3,0,2.5,Win
2557,Bulgaria,Israel,0.99,0.99,0.99,178,157,1,0,2.5,Win
2558,Colombia,Bolivia,1,1,1,190,182,3,0,2.5,Win
2559,Czech Republic,Faroe Islands,0.99,0.99,0.99,184,85,2,0,2.5,Win
2560,Ecuador,Paraguay,1,1,1,171,173,2,1,2.5,Win
2561,Estonia,Austria,0.99,0.99,0.99,99,156,0,3,2.5,Lose
2562,Finland,Norway,0.99,0.99,0.99,135,185,0,4,2.5,Lose
2563,Hungary,Switzerland,0.99,0.99,0.99,128,136,1,1,2.5,Draw
2564,Republic of Ireland,Lithuania,0.99,0.99,0.99,145,158,0,0,2.5,Draw
2565,Liechtenstein,Iceland,0.99,0.99,0.99,50,112,0,4,2.5,Lose
2566,Northern Ireland,Germany,0.99,0.99,0.99,129,196,1,3,2.5,Lose
2567,Portugal,Armenia,0.99,0.99,0.99,170,92,3,1,2.5,Win
2568,Romania,North Macedonia,0.99,0.99,0.99,188,121,4,2,2.5,Win
2569,Turkey,Wales,0.99,0.99,0.99,148,109,6,4,2.5,Win
2570,Ukraine,Albania,0.99,0.99,0.99,146,76,1,0,2.5,Win
2571,Uruguay,Chile,1,1,1,150,177,1,0,2.5,Win
2572,Venezuela,Peru,1,1,1,91,164,0,3,2.5,Lose
2573,Lebanon,Iraq,0.85,0.85,0.85,113,122,0,2,1,Lose
2574,Korea Republic,Tajikistan,0.85,0.85,0.85,166,84,4,1,1,Win
2575,Peru,Colombia,1,1,1,164,190,2,1,1,Win
2576,Slovakia,Czech Republic,0.99,0.99,0.99,180,184,2,1,2.5,Win
2577,Uzbekistan,Yemen,0.85,0.85,0.85,117,70,5,1,2.5,Win
2578,Korea Republic,China PR,0.85,0.85,0.85,166,142,0,0,1,Draw
2579,Jamaica,Trinidad and Tobago,0.85,1,0.925,163,139,6,1,1,Win
2580,Namibia,Zambia,0.85,0.85,0.85,120,181,1,1,1,Draw
2581,China PR,Kazakhstan,0.85,0.99,0.92,142,78,3,0,1,Win
2582,United Arab Emirates,IR Iran,0.85,0.85,0.85,134,140,3,1,1,Win
2583,Nepal,Pakistan,0.85,0.85,0.85,50,50,0,2,1,Lose
2584,Maldives,Bangladesh,0.85,0.85,0.85,50,62,1,1,1,Draw
2585,Armenia,Albania,0.99,0.99,0.99,92,76,3,0,2.5,Win
2586,Austria,Sweden,0.99,0.99,0.99,156,175,1,0,2.5,Win
2587,Azerbaijan,Norway,0.99,0.99,0.99,74,185,0,1,2.5,Lose
2588,Croatia,Bosnia and Herzegovina,0.99,0.99,0.99,167,83,3,2,2.5,Win
2589,El Salvador,Colombia,0.85,1,0.925,127,190,2,2,1,Draw
2590,Faroe Islands,Czech Republic,0.99,0.99,0.99,85,184,0,2,2.5,Lose
2591,Germany,Portugal,0.99,0.99,0.99,196,170,1,1,2.5,Draw
2592,Iceland,Republic of Ireland,0.99,0.99,0.99,112,145,2,2,2.5,Draw
2593,Korea Republic,Kazakhstan,0.85,0.99,0.92,166,78,3,0,2.5,Win
2594,Latvia,Estonia,0.99,0.99,0.99,126,99,1,0,2.5,Win
2595,Liechtenstein,Romania,0.99,0.99,0.99,50,188,1,8,2.5,Lose
2596,Lithuania,North Macedonia,0.99,0.99,0.99,158,121,2,0,2.5,Win
